Measure,Cycle,Set,Value
Fst,Founders,Cycle,0.019
Fst,0,Cycle,0.086
Fst,4,Cycle,0.164
Fst,8,Cycle,0.28
Fst,12,Cycle,0.35
Fst,16,Cycle,0.42
H BSSS,Founders,Cycle,0.331
H BSSS,0,Cycle,0.279
H BSSS,4,Cycle,0.241
H BSSS,8,Cycle,0.202
H BSSS,12,Cycle,0.168
H BSSS,16,Cycle,0.137
H BSCB,Founders,Cycle,0.331
H BSCB,0,Cycle,0.326
H BSCB,4,Cycle,0.275
H BSCB,8,Cycle,0.2
H BSCB,12,Cycle,0.18
H BSCB,16,Cycle,0.157
H Combined,Founders,Cycle,0.345
H Combined,0,Cycle,0.335
H Combined,4,Cycle,0.311
H Combined,8,Cycle,0.282
H Combined,12,Cycle,0.27
H Combined,16,Cycle,0.256
